
Files already downloaded and verified
Epoch [1/500], Train Loss: 2.4199, Test Loss: 2.3000, Test Accuracy: 10.03%
Epoch [2/500], Train Loss: 2.2924, Test Loss: 2.3222, Test Accuracy: 10.00%
Epoch [3/500], Train Loss: 2.0971, Test Loss: 2.3257, Test Accuracy: 12.44%
Epoch [4/500], Train Loss: 2.1675, Test Loss: 2.5030, Test Accuracy: 10.28%
Epoch [5/500], Train Loss: 2.2361, Test Loss: 2.2024, Test Accuracy: 17.20%
Epoch [6/500], Train Loss: 1.9865, Test Loss: 2.2486, Test Accuracy: 18.75%
Epoch [7/500], Train Loss: 1.9349, Test Loss: 2.0752, Test Accuracy: 19.01%
Epoch [8/500], Train Loss: 1.9420, Test Loss: 2.1828, Test Accuracy: 24.30%
Epoch [9/500], Train Loss: 1.9221, Test Loss: 2.9940, Test Accuracy: 18.42%
Epoch [10/500], Train Loss: 1.8779, Test Loss: 2.3324, Test Accuracy: 19.43%
Epoch [11/500], Train Loss: 1.8863, Test Loss: 3.1440, Test Accuracy: 15.83%
Epoch [12/500], Train Loss: 1.9546, Test Loss: 2.2062, Test Accuracy: 22.88%
Epoch [13/500], Train Loss: 1.8638, Test Loss: 2.3142, Test Accuracy: 21.40%
Epoch [14/500], Train Loss: 1.7714, Test Loss: 1.9028, Test Accuracy: 29.90%
Epoch [15/500], Train Loss: 1.7207, Test Loss: 2.5637, Test Accuracy: 16.81%
Epoch [16/500], Train Loss: 1.8745, Test Loss: 2.6388, Test Accuracy: 19.80%
Epoch [17/500], Train Loss: 1.7156, Test Loss: 1.9931, Test Accuracy: 32.76%
Epoch [18/500], Train Loss: 1.6680, Test Loss: 1.9756, Test Accuracy: 28.82%
Epoch [19/500], Train Loss: 1.7171, Test Loss: 2.2100, Test Accuracy: 23.96%
Epoch [20/500], Train Loss: 1.7357, Test Loss: 2.7306, Test Accuracy: 20.44%
Epoch [21/500], Train Loss: 1.6840, Test Loss: 2.7532, Test Accuracy: 17.54%
Epoch [22/500], Train Loss: 1.7069, Test Loss: 2.2442, Test Accuracy: 24.49%
Epoch [23/500], Train Loss: 1.6723, Test Loss: 2.3696, Test Accuracy: 25.74%
Epoch [24/500], Train Loss: 1.6242, Test Loss: 2.1589, Test Accuracy: 25.34%
Epoch [25/500], Train Loss: 1.6166, Test Loss: 1.9869, Test Accuracy: 31.91%
Epoch [26/500], Train Loss: 1.6311, Test Loss: 2.1711, Test Accuracy: 27.49%
Epoch [27/500], Train Loss: 1.6915, Test Loss: 1.8777, Test Accuracy: 33.71%
Epoch [28/500], Train Loss: 1.5577, Test Loss: 1.5742, Test Accuracy: 42.12%
Epoch [29/500], Train Loss: 1.5267, Test Loss: 1.7970, Test Accuracy: 36.51%
Epoch [30/500], Train Loss: 1.5599, Test Loss: 2.0646, Test Accuracy: 30.84%
Epoch [31/500], Train Loss: 1.5508, Test Loss: 2.1770, Test Accuracy: 33.81%
Epoch [32/500], Train Loss: 1.5483, Test Loss: 2.0553, Test Accuracy: 30.92%
Epoch [33/500], Train Loss: 1.5833, Test Loss: 3.5227, Test Accuracy: 16.88%
Epoch [34/500], Train Loss: 1.5262, Test Loss: 2.2226, Test Accuracy: 27.27%
Epoch [35/500], Train Loss: 1.4802, Test Loss: 2.6203, Test Accuracy: 29.06%
Epoch [36/500], Train Loss: 1.5392, Test Loss: 1.7215, Test Accuracy: 38.02%
Epoch [37/500], Train Loss: 1.4837, Test Loss: 1.7692, Test Accuracy: 34.89%
Epoch [38/500], Train Loss: 1.4920, Test Loss: 1.7700, Test Accuracy: 38.45%
Epoch [39/500], Train Loss: 1.4567, Test Loss: 1.8268, Test Accuracy: 36.72%
Epoch [40/500], Train Loss: 1.4816, Test Loss: 2.3039, Test Accuracy: 32.48%
Epoch [41/500], Train Loss: 1.4545, Test Loss: 2.1748, Test Accuracy: 31.86%
Epoch [42/500], Train Loss: 1.4190, Test Loss: 2.1272, Test Accuracy: 28.85%
Epoch [43/500], Train Loss: 1.4263, Test Loss: 2.4523, Test Accuracy: 27.16%
Epoch [44/500], Train Loss: 1.4441, Test Loss: 2.0021, Test Accuracy: 33.32%
Epoch [45/500], Train Loss: 1.3971, Test Loss: 1.8384, Test Accuracy: 34.89%
Epoch [46/500], Train Loss: 1.3809, Test Loss: 1.5454, Test Accuracy: 42.99%
Epoch [47/500], Train Loss: 1.3594, Test Loss: 1.6741, Test Accuracy: 39.54%
Epoch [48/500], Train Loss: 1.4096, Test Loss: 1.8653, Test Accuracy: 36.97%
Epoch [49/500], Train Loss: 1.4221, Test Loss: 2.3209, Test Accuracy: 30.96%
Epoch [50/500], Train Loss: 1.3757, Test Loss: 2.0196, Test Accuracy: 33.82%
Epoch [51/500], Train Loss: 1.3427, Test Loss: 2.9093, Test Accuracy: 28.00%
Epoch [52/500], Train Loss: 1.3850, Test Loss: 1.8418, Test Accuracy: 38.51%
Epoch [53/500], Train Loss: 1.3556, Test Loss: 1.6155, Test Accuracy: 41.96%
Epoch [54/500], Train Loss: 1.3320, Test Loss: 1.7726, Test Accuracy: 39.75%
Epoch [55/500], Train Loss: 1.3459, Test Loss: 2.2732, Test Accuracy: 32.38%
Epoch [56/500], Train Loss: 1.3341, Test Loss: 2.0389, Test Accuracy: 38.51%
Epoch [57/500], Train Loss: 1.2906, Test Loss: 1.8771, Test Accuracy: 38.01%
Epoch [58/500], Train Loss: 1.3114, Test Loss: 1.7226, Test Accuracy: 35.14%
