
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to data/cifar-10-python.tar.gz




 88%|██████████████████████████████████████████████████████████████████▋         | 149487616/170498071 [00:09<00:01, 17948914.62it/s]

100%|████████████████████████████████████████████████████████████████████████████| 170498071/170498071 [00:10<00:00, 16022372.62it/s]
Epoch [65/400], Train Loss: 0.9626, Test Loss: 1.1388, Test Accuracy: 59.04%
Epoch [66/400], Train Loss: 0.9540, Test Loss: 1.0634, Test Accuracy: 61.73%
Epoch [67/400], Train Loss: 0.9426, Test Loss: 1.0263, Test Accuracy: 63.33%
Epoch [68/400], Train Loss: 0.9297, Test Loss: 1.1201, Test Accuracy: 60.05%
Epoch [69/400], Train Loss: 0.9194, Test Loss: 1.1887, Test Accuracy: 57.68%
Epoch [70/400], Train Loss: 0.9153, Test Loss: 1.1051, Test Accuracy: 60.33%
Epoch [71/400], Train Loss: 0.9097, Test Loss: 1.0845, Test Accuracy: 61.00%
Epoch [72/400], Train Loss: 0.8984, Test Loss: 1.0203, Test Accuracy: 63.84%
Epoch [73/400], Train Loss: 0.8855, Test Loss: 1.0336, Test Accuracy: 63.47%
Epoch [74/400], Train Loss: 0.8768, Test Loss: 1.0807, Test Accuracy: 61.75%
Epoch [75/400], Train Loss: 0.8715, Test Loss: 1.0896, Test Accuracy: 61.34%
Epoch [76/400], Train Loss: 0.8672, Test Loss: 1.0090, Test Accuracy: 64.31%
Epoch [77/400], Train Loss: 0.8570, Test Loss: 0.9836, Test Accuracy: 64.81%
Epoch [78/400], Train Loss: 0.8464, Test Loss: 1.0243, Test Accuracy: 63.68%
Epoch [79/400], Train Loss: 0.8394, Test Loss: 0.9982, Test Accuracy: 64.29%
Epoch [80/400], Train Loss: 0.8330, Test Loss: 1.0021, Test Accuracy: 64.49%
Epoch [81/400], Train Loss: 0.8250, Test Loss: 1.0532, Test Accuracy: 63.03%
Epoch [82/400], Train Loss: 0.8176, Test Loss: 1.0288, Test Accuracy: 63.26%
Epoch [83/400], Train Loss: 0.8107, Test Loss: 0.9784, Test Accuracy: 65.08%
Epoch [84/400], Train Loss: 0.8021, Test Loss: 0.9565, Test Accuracy: 66.24%
Epoch [85/400], Train Loss: 0.7922, Test Loss: 0.9794, Test Accuracy: 65.21%
Epoch [86/400], Train Loss: 0.7827, Test Loss: 0.9786, Test Accuracy: 65.70%
Epoch [87/400], Train Loss: 0.7789, Test Loss: 1.0232, Test Accuracy: 64.26%
Epoch [88/400], Train Loss: 0.7754, Test Loss: 0.9394, Test Accuracy: 66.52%
Epoch [89/400], Train Loss: 0.7663, Test Loss: 0.9284, Test Accuracy: 67.54%
Epoch [90/400], Train Loss: 0.7541, Test Loss: 0.9888, Test Accuracy: 65.83%
Epoch [91/400], Train Loss: 0.7472, Test Loss: 1.0795, Test Accuracy: 62.99%
Epoch [92/400], Train Loss: 0.7425, Test Loss: 0.9341, Test Accuracy: 67.10%
Epoch [93/400], Train Loss: 0.7365, Test Loss: 0.9411, Test Accuracy: 66.75%
Epoch [94/400], Train Loss: 0.7285, Test Loss: 0.9199, Test Accuracy: 67.19%
Epoch [95/400], Train Loss: 0.7245, Test Loss: 0.9354, Test Accuracy: 66.29%
