
Files already downloaded and verified
Epoch [1/300], Train Loss: 2.4179, Test Loss: 2.3010, Test Accuracy: 10.00%
Epoch [2/300], Train Loss: 2.4808, Test Loss: 2.3271, Test Accuracy: 10.00%
Epoch [3/300], Train Loss: 2.1953, Test Loss: 2.3545, Test Accuracy: 10.32%
Epoch [4/300], Train Loss: 2.0552, Test Loss: 2.3662, Test Accuracy: 14.99%
Epoch [5/300], Train Loss: 1.9819, Test Loss: 2.2653, Test Accuracy: 17.07%
Epoch [6/300], Train Loss: 1.8923, Test Loss: 2.1027, Test Accuracy: 22.19%
Epoch [7/300], Train Loss: 1.8417, Test Loss: 2.0717, Test Accuracy: 24.50%
Epoch [8/300], Train Loss: 1.8059, Test Loss: 1.8402, Test Accuracy: 30.67%
Epoch [9/300], Train Loss: 1.7350, Test Loss: 1.7512, Test Accuracy: 34.08%
Epoch [10/300], Train Loss: 1.6945, Test Loss: 1.8495, Test Accuracy: 29.98%
Epoch [11/300], Train Loss: 1.6552, Test Loss: 1.7331, Test Accuracy: 36.63%
Epoch [12/300], Train Loss: 1.6188, Test Loss: 1.6696, Test Accuracy: 38.47%
Epoch [13/300], Train Loss: 1.6000, Test Loss: 1.6711, Test Accuracy: 38.42%
Epoch [14/300], Train Loss: 1.5658, Test Loss: 1.6029, Test Accuracy: 39.99%
Epoch [15/300], Train Loss: 1.5463, Test Loss: 1.5784, Test Accuracy: 40.64%
Epoch [16/300], Train Loss: 1.5195, Test Loss: 1.5356, Test Accuracy: 42.44%
Epoch [17/300], Train Loss: 1.4959, Test Loss: 1.5692, Test Accuracy: 41.44%
Epoch [18/300], Train Loss: 1.4829, Test Loss: 1.5066, Test Accuracy: 44.71%
Epoch [19/300], Train Loss: 1.4797, Test Loss: 1.6753, Test Accuracy: 37.64%
Epoch [20/300], Train Loss: 1.4717, Test Loss: 1.5049, Test Accuracy: 43.85%
Epoch [21/300], Train Loss: 1.4114, Test Loss: 1.5455, Test Accuracy: 42.59%
Epoch [22/300], Train Loss: 1.4263, Test Loss: 1.5184, Test Accuracy: 43.25%
Epoch [23/300], Train Loss: 1.3842, Test Loss: 1.3975, Test Accuracy: 48.34%
Epoch [24/300], Train Loss: 1.3711, Test Loss: 1.3786, Test Accuracy: 49.17%
Epoch [25/300], Train Loss: 1.3524, Test Loss: 1.4222, Test Accuracy: 47.41%
Epoch [26/300], Train Loss: 1.3279, Test Loss: 1.4109, Test Accuracy: 47.87%
Epoch [27/300], Train Loss: 1.3136, Test Loss: 1.3157, Test Accuracy: 51.76%
Epoch [28/300], Train Loss: 1.2880, Test Loss: 1.3601, Test Accuracy: 49.64%
Epoch [29/300], Train Loss: 1.2776, Test Loss: 1.4580, Test Accuracy: 47.01%
Epoch [30/300], Train Loss: 1.2513, Test Loss: 1.3976, Test Accuracy: 49.54%
Epoch [31/300], Train Loss: 1.2395, Test Loss: 1.2699, Test Accuracy: 53.93%
Epoch [32/300], Train Loss: 1.2199, Test Loss: 1.2441, Test Accuracy: 54.09%
Epoch [33/300], Train Loss: 1.2023, Test Loss: 1.2935, Test Accuracy: 51.62%
Epoch [34/300], Train Loss: 1.1854, Test Loss: 1.2505, Test Accuracy: 54.32%
Epoch [35/300], Train Loss: 1.1689, Test Loss: 1.2063, Test Accuracy: 55.59%
Epoch [36/300], Train Loss: 1.1538, Test Loss: 1.2184, Test Accuracy: 56.00%
Epoch [37/300], Train Loss: 1.1389, Test Loss: 1.2439, Test Accuracy: 54.52%
Epoch [38/300], Train Loss: 1.1238, Test Loss: 1.2109, Test Accuracy: 56.42%
Epoch [39/300], Train Loss: 1.1101, Test Loss: 1.1783, Test Accuracy: 57.03%
Epoch [40/300], Train Loss: 1.0934, Test Loss: 1.1596, Test Accuracy: 58.25%
Epoch [41/300], Train Loss: 1.0788, Test Loss: 1.1379, Test Accuracy: 58.64%
Epoch [42/300], Train Loss: 1.0660, Test Loss: 1.4245, Test Accuracy: 48.97%
Epoch [43/300], Train Loss: 1.0793, Test Loss: 1.6554, Test Accuracy: 45.91%
Epoch [44/300], Train Loss: 1.1176, Test Loss: 1.1551, Test Accuracy: 57.86%
Epoch [45/300], Train Loss: 1.0367, Test Loss: 1.1957, Test Accuracy: 56.20%
Epoch [46/300], Train Loss: 1.0558, Test Loss: 1.3702, Test Accuracy: 50.38%
Epoch [47/300], Train Loss: 1.0179, Test Loss: 1.2884, Test Accuracy: 53.20%
Epoch [48/300], Train Loss: 1.0216, Test Loss: 1.1203, Test Accuracy: 59.83%
Epoch [49/300], Train Loss: 0.9882, Test Loss: 1.1574, Test Accuracy: 58.12%
Epoch [50/300], Train Loss: 0.9931, Test Loss: 1.1180, Test Accuracy: 59.63%
Epoch [51/300], Train Loss: 0.9622, Test Loss: 1.1490, Test Accuracy: 57.72%
Epoch [52/300], Train Loss: 0.9613, Test Loss: 1.0358, Test Accuracy: 62.64%
Epoch [53/300], Train Loss: 0.9396, Test Loss: 1.1664, Test Accuracy: 58.09%
Epoch [54/300], Train Loss: 0.9329, Test Loss: 1.0543, Test Accuracy: 62.06%
Epoch [55/300], Train Loss: 0.9164, Test Loss: 1.0682, Test Accuracy: 61.40%
Epoch [56/300], Train Loss: 0.9071, Test Loss: 1.0225, Test Accuracy: 63.40%
Epoch [57/300], Train Loss: 0.8931, Test Loss: 1.0512, Test Accuracy: 62.03%
Epoch [58/300], Train Loss: 0.8838, Test Loss: 1.0389, Test Accuracy: 62.45%
Epoch [59/300], Train Loss: 0.8746, Test Loss: 1.0281, Test Accuracy: 62.43%
Epoch [60/300], Train Loss: 0.8821, Test Loss: 1.1304, Test Accuracy: 59.13%
Epoch [61/300], Train Loss: 0.9067, Test Loss: 1.0069, Test Accuracy: 63.34%
Epoch [62/300], Train Loss: 0.8733, Test Loss: 1.0547, Test Accuracy: 61.76%
Epoch [63/300], Train Loss: 0.8532, Test Loss: 0.9977, Test Accuracy: 63.48%
Epoch [64/300], Train Loss: 0.8464, Test Loss: 0.9648, Test Accuracy: 65.48%
Epoch [65/300], Train Loss: 0.8357, Test Loss: 1.1061, Test Accuracy: 61.47%
Epoch [66/300], Train Loss: 0.8372, Test Loss: 1.0371, Test Accuracy: 62.69%
Epoch [67/300], Train Loss: 0.8162, Test Loss: 1.0023, Test Accuracy: 64.13%
Epoch [68/300], Train Loss: 0.8055, Test Loss: 0.9228, Test Accuracy: 66.84%
Epoch [69/300], Train Loss: 0.7897, Test Loss: 0.9648, Test Accuracy: 66.00%
Epoch [70/300], Train Loss: 0.7807, Test Loss: 0.9875, Test Accuracy: 65.87%
Epoch [71/300], Train Loss: 0.7703, Test Loss: 0.8971, Test Accuracy: 67.91%
Epoch [72/300], Train Loss: 0.7605, Test Loss: 0.9124, Test Accuracy: 67.30%
Epoch [73/300], Train Loss: 0.7504, Test Loss: 0.9075, Test Accuracy: 67.75%
Epoch [74/300], Train Loss: 0.7386, Test Loss: 0.9036, Test Accuracy: 68.34%
Epoch [75/300], Train Loss: 0.7276, Test Loss: 0.8951, Test Accuracy: 67.64%
Epoch [76/300], Train Loss: 0.7169, Test Loss: 0.8769, Test Accuracy: 68.66%
Epoch [77/300], Train Loss: 0.7072, Test Loss: 0.8836, Test Accuracy: 68.64%
Epoch [78/300], Train Loss: 0.6971, Test Loss: 0.8472, Test Accuracy: 69.99%
Epoch [79/300], Train Loss: 0.6947, Test Loss: 0.9381, Test Accuracy: 66.68%
Epoch [80/300], Train Loss: 0.7131, Test Loss: 1.1551, Test Accuracy: 61.27%
Epoch [81/300], Train Loss: 0.7432, Test Loss: 0.9869, Test Accuracy: 65.92%
Epoch [82/300], Train Loss: 0.7289, Test Loss: 1.0927, Test Accuracy: 62.63%
Epoch [83/300], Train Loss: 0.7104, Test Loss: 0.9851, Test Accuracy: 65.97%
Epoch [84/300], Train Loss: 0.6893, Test Loss: 1.0159, Test Accuracy: 65.09%
Epoch [85/300], Train Loss: 0.6965, Test Loss: 0.9346, Test Accuracy: 67.90%
Epoch [86/300], Train Loss: 0.6606, Test Loss: 1.0110, Test Accuracy: 64.84%
Epoch [87/300], Train Loss: 0.6758, Test Loss: 0.9657, Test Accuracy: 65.76%
Epoch [88/300], Train Loss: 0.6428, Test Loss: 0.8990, Test Accuracy: 68.20%
Epoch [89/300], Train Loss: 0.6477, Test Loss: 0.8309, Test Accuracy: 70.74%
Epoch [90/300], Train Loss: 0.6187, Test Loss: 0.8974, Test Accuracy: 68.19%
Epoch [91/300], Train Loss: 0.6217, Test Loss: 0.8945, Test Accuracy: 68.37%
