
Files already downloaded and verified
Epoch [1/500], Train Loss: 2.4667, Test Loss: 2.3054, Test Accuracy: 10.15%
Epoch [2/500], Train Loss: 2.3614, Test Loss: 2.2953, Test Accuracy: 13.93%
Epoch [3/500], Train Loss: 2.2656, Test Loss: 2.3120, Test Accuracy: 11.76%
Epoch [4/500], Train Loss: 2.2257, Test Loss: 2.3244, Test Accuracy: 12.36%
Epoch [5/500], Train Loss: 2.0968, Test Loss: 2.2539, Test Accuracy: 16.36%
Epoch [6/500], Train Loss: 1.9762, Test Loss: 2.1022, Test Accuracy: 19.86%
Epoch [7/500], Train Loss: 1.9119, Test Loss: 2.2243, Test Accuracy: 17.32%
Epoch [8/500], Train Loss: 1.9097, Test Loss: 2.9464, Test Accuracy: 17.90%
Epoch [9/500], Train Loss: 1.9417, Test Loss: 2.0715, Test Accuracy: 24.13%
Epoch [10/500], Train Loss: 1.8757, Test Loss: 1.9657, Test Accuracy: 23.99%
Epoch [11/500], Train Loss: 1.8096, Test Loss: 1.8085, Test Accuracy: 31.48%
Epoch [12/500], Train Loss: 1.7708, Test Loss: 1.8593, Test Accuracy: 27.66%
Epoch [13/500], Train Loss: 1.7912, Test Loss: 2.2369, Test Accuracy: 19.03%
Epoch [14/500], Train Loss: 1.9823, Test Loss: 4.0124, Test Accuracy: 14.29%
Epoch [15/500], Train Loss: 1.8938, Test Loss: 1.9997, Test Accuracy: 27.06%
Epoch [16/500], Train Loss: 1.7792, Test Loss: 1.7554, Test Accuracy: 34.42%
Epoch [17/500], Train Loss: 1.7277, Test Loss: 1.7765, Test Accuracy: 34.19%
Epoch [18/500], Train Loss: 1.6979, Test Loss: 1.8792, Test Accuracy: 30.37%
Epoch [19/500], Train Loss: 1.7220, Test Loss: 2.0077, Test Accuracy: 30.55%
Epoch [20/500], Train Loss: 1.7413, Test Loss: 2.0279, Test Accuracy: 25.11%
Epoch [21/500], Train Loss: 1.8208, Test Loss: 2.6675, Test Accuracy: 26.06%
Epoch [22/500], Train Loss: 1.7250, Test Loss: 1.7489, Test Accuracy: 33.76%
Epoch [23/500], Train Loss: 1.6798, Test Loss: 1.7205, Test Accuracy: 36.29%
Epoch [24/500], Train Loss: 1.6340, Test Loss: 1.9467, Test Accuracy: 27.12%
Epoch [25/500], Train Loss: 1.6965, Test Loss: 2.2911, Test Accuracy: 27.58%
Epoch [26/500], Train Loss: 1.7559, Test Loss: 1.9833, Test Accuracy: 25.84%
Epoch [27/500], Train Loss: 1.7345, Test Loss: 2.3666, Test Accuracy: 23.94%
Epoch [28/500], Train Loss: 1.7636, Test Loss: 2.2152, Test Accuracy: 29.77%
Epoch [29/500], Train Loss: 1.7043, Test Loss: 1.9150, Test Accuracy: 30.28%
Epoch [30/500], Train Loss: 1.6744, Test Loss: 1.7663, Test Accuracy: 34.36%
Epoch [31/500], Train Loss: 1.6060, Test Loss: 1.6155, Test Accuracy: 40.26%
Epoch [32/500], Train Loss: 1.5843, Test Loss: 1.9195, Test Accuracy: 30.57%
Epoch [33/500], Train Loss: 1.6100, Test Loss: 2.3415, Test Accuracy: 27.07%
Epoch [34/500], Train Loss: 1.7181, Test Loss: 1.8946, Test Accuracy: 33.74%
Epoch [35/500], Train Loss: 1.7070, Test Loss: 1.8707, Test Accuracy: 30.41%
Epoch [36/500], Train Loss: 1.6176, Test Loss: 1.7285, Test Accuracy: 34.88%
Epoch [37/500], Train Loss: 1.5853, Test Loss: 1.7363, Test Accuracy: 36.17%
Epoch [38/500], Train Loss: 1.5579, Test Loss: 1.6002, Test Accuracy: 41.63%
Epoch [39/500], Train Loss: 1.5121, Test Loss: 1.6029, Test Accuracy: 39.30%
Epoch [40/500], Train Loss: 1.5096, Test Loss: 2.0057, Test Accuracy: 28.87%
Epoch [41/500], Train Loss: 1.5892, Test Loss: 1.8314, Test Accuracy: 31.97%
Epoch [42/500], Train Loss: 1.5551, Test Loss: 2.1031, Test Accuracy: 34.91%
Epoch [43/500], Train Loss: 1.5925, Test Loss: 2.5529, Test Accuracy: 26.14%
Epoch [44/500], Train Loss: 1.6539, Test Loss: 8.5942, Test Accuracy: 17.18%
Epoch [45/500], Train Loss: 1.6740, Test Loss: 3.7627, Test Accuracy: 25.47%
Epoch [46/500], Train Loss: 1.5769, Test Loss: 1.6106, Test Accuracy: 41.34%
Epoch [47/500], Train Loss: 1.5040, Test Loss: 1.6197, Test Accuracy: 42.65%
Epoch [48/500], Train Loss: 1.4866, Test Loss: 1.7285, Test Accuracy: 36.09%
Epoch [49/500], Train Loss: 1.5275, Test Loss: 1.8359, Test Accuracy: 34.53%
Epoch [50/500], Train Loss: 1.5781, Test Loss: 1.7600, Test Accuracy: 33.88%
Epoch [51/500], Train Loss: 1.5264, Test Loss: 2.1284, Test Accuracy: 28.77%
Epoch [52/500], Train Loss: 1.4980, Test Loss: 1.6933, Test Accuracy: 38.47%
Epoch [53/500], Train Loss: 1.5037, Test Loss: 2.0327, Test Accuracy: 30.47%
Epoch [54/500], Train Loss: 1.4939, Test Loss: 1.5638, Test Accuracy: 41.07%
Epoch [55/500], Train Loss: 1.4473, Test Loss: 1.8977, Test Accuracy: 31.47%
Epoch [56/500], Train Loss: 1.4382, Test Loss: 1.4240, Test Accuracy: 47.81%
Epoch [57/500], Train Loss: 1.3729, Test Loss: 1.4696, Test Accuracy: 45.96%
Epoch [58/500], Train Loss: 1.3580, Test Loss: 1.5770, Test Accuracy: 44.74%
Epoch [59/500], Train Loss: 1.3839, Test Loss: 1.6296, Test Accuracy: 40.92%
Epoch [60/500], Train Loss: 1.3916, Test Loss: 1.6067, Test Accuracy: 43.73%
Epoch [61/500], Train Loss: 1.3877, Test Loss: 1.6041, Test Accuracy: 41.92%
Epoch [62/500], Train Loss: 1.3553, Test Loss: 1.5768, Test Accuracy: 41.44%
Epoch [63/500], Train Loss: 1.3205, Test Loss: 1.6078, Test Accuracy: 41.85%
Epoch [64/500], Train Loss: 1.4234, Test Loss: 1.7435, Test Accuracy: 39.99%
Epoch [65/500], Train Loss: 1.4228, Test Loss: 1.5645, Test Accuracy: 44.20%
Epoch [66/500], Train Loss: 1.4004, Test Loss: 1.6124, Test Accuracy: 41.29%
Epoch [67/500], Train Loss: 1.3306, Test Loss: 2.1358, Test Accuracy: 32.16%
Epoch [68/500], Train Loss: 1.4022, Test Loss: 3.3665, Test Accuracy: 21.17%
Epoch [69/500], Train Loss: 1.6306, Test Loss: 3.8113, Test Accuracy: 27.52%
Epoch [70/500], Train Loss: 1.5387, Test Loss: 1.8869, Test Accuracy: 30.93%
Epoch [71/500], Train Loss: 1.4251, Test Loss: 1.7537, Test Accuracy: 37.02%
Epoch [72/500], Train Loss: 1.3850, Test Loss: 1.5884, Test Accuracy: 42.71%
Epoch [73/500], Train Loss: 1.3411, Test Loss: 1.4439, Test Accuracy: 47.13%
Epoch [74/500], Train Loss: 1.3303, Test Loss: 1.6292, Test Accuracy: 41.74%
Epoch [75/500], Train Loss: 1.3583, Test Loss: 2.0947, Test Accuracy: 35.49%
Epoch [76/500], Train Loss: 1.4567, Test Loss: 2.2262, Test Accuracy: 31.40%
Epoch [77/500], Train Loss: 1.5229, Test Loss: 2.3533, Test Accuracy: 31.73%
Epoch [78/500], Train Loss: 1.4018, Test Loss: 1.4322, Test Accuracy: 47.55%
Epoch [79/500], Train Loss: 1.2972, Test Loss: 1.3954, Test Accuracy: 48.47%
Epoch [80/500], Train Loss: 1.2627, Test Loss: 1.5793, Test Accuracy: 43.64%
Epoch [81/500], Train Loss: 1.2848, Test Loss: 2.0337, Test Accuracy: 31.28%
Epoch [82/500], Train Loss: 1.3486, Test Loss: 1.8540, Test Accuracy: 35.01%
Epoch [83/500], Train Loss: 1.4038, Test Loss: 2.1271, Test Accuracy: 34.71%
Epoch [84/500], Train Loss: 1.2781, Test Loss: 1.2910, Test Accuracy: 54.09%
Epoch [85/500], Train Loss: 1.2122, Test Loss: 1.2868, Test Accuracy: 55.32%
Epoch [86/500], Train Loss: 1.1767, Test Loss: 1.3302, Test Accuracy: 52.92%
Epoch [87/500], Train Loss: 1.1625, Test Loss: 1.3010, Test Accuracy: 52.95%
Epoch [88/500], Train Loss: 1.1821, Test Loss: 1.4677, Test Accuracy: 47.34%
Epoch [89/500], Train Loss: 1.2816, Test Loss: 1.9380, Test Accuracy: 37.28%
