
Files already downloaded and verified
Epoch [68/500], Train Loss: 1.2980, Test Loss: 1.6418, Test Accuracy: 40.97%
Epoch [69/500], Train Loss: 1.2943, Test Loss: 1.4407, Test Accuracy: 47.64%
Epoch [70/500], Train Loss: 1.2693, Test Loss: 1.7741, Test Accuracy: 41.01%
Epoch [71/500], Train Loss: 1.3063, Test Loss: 1.5011, Test Accuracy: 46.64%
Epoch [72/500], Train Loss: 1.2529, Test Loss: 1.4257, Test Accuracy: 49.24%
Epoch [73/500], Train Loss: 1.2504, Test Loss: 1.4346, Test Accuracy: 45.65%
Epoch [74/500], Train Loss: 1.2713, Test Loss: 1.4796, Test Accuracy: 46.83%
Epoch [75/500], Train Loss: 1.2444, Test Loss: 1.5933, Test Accuracy: 42.64%
Epoch [76/500], Train Loss: 1.2555, Test Loss: 1.5209, Test Accuracy: 44.03%
Epoch [77/500], Train Loss: 1.2267, Test Loss: 1.8088, Test Accuracy: 41.60%
Epoch [78/500], Train Loss: 1.2726, Test Loss: 1.4532, Test Accuracy: 45.73%
Epoch [79/500], Train Loss: 1.2157, Test Loss: 1.6205, Test Accuracy: 43.37%
Epoch [80/500], Train Loss: 1.2099, Test Loss: 1.5653, Test Accuracy: 43.21%
Epoch [81/500], Train Loss: 1.1917, Test Loss: 1.9951, Test Accuracy: 33.71%
Epoch [82/500], Train Loss: 1.2952, Test Loss: 4.9157, Test Accuracy: 19.19%
Epoch [83/500], Train Loss: 1.2718, Test Loss: 1.3174, Test Accuracy: 51.69%
Epoch [84/500], Train Loss: 1.1665, Test Loss: 1.3392, Test Accuracy: 51.56%
Epoch [85/500], Train Loss: 1.1502, Test Loss: 1.8732, Test Accuracy: 38.06%
Epoch [86/500], Train Loss: 1.2075, Test Loss: 2.5292, Test Accuracy: 35.00%
Epoch [87/500], Train Loss: 1.1624, Test Loss: 1.5398, Test Accuracy: 46.06%
Epoch [88/500], Train Loss: 1.1035, Test Loss: 1.4081, Test Accuracy: 50.28%
Epoch [89/500], Train Loss: 1.1183, Test Loss: 2.5918, Test Accuracy: 30.21%
Epoch [90/500], Train Loss: 1.2218, Test Loss: 1.6600, Test Accuracy: 45.53%
Epoch [91/500], Train Loss: 1.2039, Test Loss: 1.5731, Test Accuracy: 43.84%
Epoch [92/500], Train Loss: 1.1408, Test Loss: 1.2958, Test Accuracy: 51.51%
Epoch [93/500], Train Loss: 1.1281, Test Loss: 1.4546, Test Accuracy: 48.32%
Epoch [94/500], Train Loss: 1.1545, Test Loss: 1.6795, Test Accuracy: 38.99%
Epoch [95/500], Train Loss: 1.1394, Test Loss: 1.7323, Test Accuracy: 44.75%
Epoch [96/500], Train Loss: 1.1333, Test Loss: 1.7684, Test Accuracy: 37.38%
Epoch [97/500], Train Loss: 1.0839, Test Loss: 1.7374, Test Accuracy: 38.66%
Epoch [98/500], Train Loss: 1.0737, Test Loss: 2.2259, Test Accuracy: 32.27%
Epoch [99/500], Train Loss: 1.1538, Test Loss: 2.0950, Test Accuracy: 36.69%
Epoch [100/500], Train Loss: 1.1180, Test Loss: 2.2140, Test Accuracy: 31.99%
Epoch [101/500], Train Loss: 1.0538, Test Loss: 1.5315, Test Accuracy: 51.11%
Epoch [102/500], Train Loss: 1.0810, Test Loss: 1.3930, Test Accuracy: 48.45%
Epoch [103/500], Train Loss: 1.0734, Test Loss: 1.5325, Test Accuracy: 42.39%
Epoch [104/500], Train Loss: 1.0422, Test Loss: 2.0717, Test Accuracy: 41.35%
Epoch [105/500], Train Loss: 1.0824, Test Loss: 1.8562, Test Accuracy: 34.88%
Epoch [106/500], Train Loss: 1.1043, Test Loss: 1.6210, Test Accuracy: 44.04%
Epoch [107/500], Train Loss: 1.0745, Test Loss: 1.2562, Test Accuracy: 55.07%
Epoch [108/500], Train Loss: 1.0286, Test Loss: 1.2631, Test Accuracy: 53.83%
Epoch [109/500], Train Loss: 1.0157, Test Loss: 1.5292, Test Accuracy: 45.31%
Epoch [110/500], Train Loss: 1.0323, Test Loss: 1.5673, Test Accuracy: 47.32%
Epoch [111/500], Train Loss: 1.0685, Test Loss: 1.3591, Test Accuracy: 51.96%
Epoch [112/500], Train Loss: 1.0117, Test Loss: 1.3409, Test Accuracy: 53.31%
Epoch [113/500], Train Loss: 1.0364, Test Loss: 2.3719, Test Accuracy: 33.67%
Epoch [114/500], Train Loss: 1.0775, Test Loss: 1.5490, Test Accuracy: 45.68%
Epoch [115/500], Train Loss: 1.0242, Test Loss: 1.3222, Test Accuracy: 53.46%
Epoch [116/500], Train Loss: 0.9535, Test Loss: 1.5978, Test Accuracy: 47.69%
Epoch [117/500], Train Loss: 0.9838, Test Loss: 1.6849, Test Accuracy: 45.98%
Epoch [118/500], Train Loss: 0.9933, Test Loss: 1.4005, Test Accuracy: 52.70%
Epoch [119/500], Train Loss: 0.9930, Test Loss: 1.3845, Test Accuracy: 51.56%
Epoch [120/500], Train Loss: 0.9754, Test Loss: 1.3898, Test Accuracy: 47.29%
Epoch [121/500], Train Loss: 0.9555, Test Loss: 2.2406, Test Accuracy: 44.25%
Epoch [122/500], Train Loss: 1.0057, Test Loss: 1.3136, Test Accuracy: 54.30%
Epoch [123/500], Train Loss: 1.0119, Test Loss: 1.4120, Test Accuracy: 48.79%
Epoch [124/500], Train Loss: 1.0445, Test Loss: 1.5170, Test Accuracy: 49.09%
Epoch [125/500], Train Loss: 0.9887, Test Loss: 2.5858, Test Accuracy: 32.93%
