
Files already downloaded and verified
Epoch [1/1500], Train Loss: 2.4391, Test Loss: 2.3115, Test Accuracy: 10.00%
Epoch [2/1500], Train Loss: 2.3263, Test Loss: 2.3185, Test Accuracy: 10.00%
Epoch [3/1500], Train Loss: 2.2269, Test Loss: 2.3070, Test Accuracy: 10.30%
Epoch [4/1500], Train Loss: 2.1635, Test Loss: 2.2704, Test Accuracy: 14.02%
Epoch [5/1500], Train Loss: 2.1301, Test Loss: 2.2557, Test Accuracy: 15.55%
Epoch [6/1500], Train Loss: 2.0727, Test Loss: 2.2210, Test Accuracy: 17.21%
Epoch [7/1500], Train Loss: 2.0173, Test Loss: 2.1791, Test Accuracy: 20.60%
Epoch [8/1500], Train Loss: 2.0039, Test Loss: 2.0974, Test Accuracy: 21.47%
Epoch [9/1500], Train Loss: 1.9765, Test Loss: 2.0166, Test Accuracy: 22.98%
Epoch [10/1500], Train Loss: 1.9315, Test Loss: 2.1483, Test Accuracy: 23.31%
Epoch [11/1500], Train Loss: 1.8982, Test Loss: 2.5388, Test Accuracy: 19.03%
Epoch [12/1500], Train Loss: 1.9305, Test Loss: 2.2062, Test Accuracy: 21.42%
Epoch [13/1500], Train Loss: 1.9299, Test Loss: 2.0829, Test Accuracy: 24.02%
Epoch [14/1500], Train Loss: 1.9030, Test Loss: 2.0732, Test Accuracy: 24.42%
Epoch [15/1500], Train Loss: 1.8675, Test Loss: 2.1037, Test Accuracy: 22.95%
Epoch [16/1500], Train Loss: 1.8407, Test Loss: 2.0925, Test Accuracy: 20.57%
Epoch [17/1500], Train Loss: 1.8558, Test Loss: 1.9522, Test Accuracy: 22.71%
Epoch [18/1500], Train Loss: 1.8737, Test Loss: 1.9021, Test Accuracy: 26.49%
Epoch [19/1500], Train Loss: 1.8618, Test Loss: 1.8824, Test Accuracy: 28.23%
Epoch [20/1500], Train Loss: 1.8335, Test Loss: 1.8996, Test Accuracy: 28.60%
Epoch [21/1500], Train Loss: 1.8055, Test Loss: 1.9621, Test Accuracy: 26.74%
Epoch [22/1500], Train Loss: 1.8007, Test Loss: 1.9092, Test Accuracy: 27.62%
Epoch [23/1500], Train Loss: 1.8007, Test Loss: 1.8067, Test Accuracy: 30.96%
Epoch [24/1500], Train Loss: 1.7852, Test Loss: 1.7678, Test Accuracy: 33.77%
Epoch [25/1500], Train Loss: 1.7615, Test Loss: 1.9802, Test Accuracy: 31.91%
Epoch [26/1500], Train Loss: 1.7502, Test Loss: 2.3450, Test Accuracy: 29.47%
Epoch [27/1500], Train Loss: 1.7654, Test Loss: 2.3815, Test Accuracy: 27.86%
Epoch [28/1500], Train Loss: 1.7777, Test Loss: 2.2384, Test Accuracy: 28.99%
Epoch [29/1500], Train Loss: 1.7832, Test Loss: 2.1102, Test Accuracy: 29.42%
Epoch [30/1500], Train Loss: 1.7804, Test Loss: 1.9919, Test Accuracy: 28.80%
